osm_id;ort;plz;bundesland;eintrag
722153;Aidlingen;71134;Baden-Württemberg;Weltklasse
956660;Aiglsbach;84089;Bayern;Weltklasse
535001;Ailertchen;56459;Rheinland-Pfalz;Weltklasse
162453;Aindling;86447;Bayern;Weltklasse
941761;Ainring;83404;Bayern;Weltklasse
956819;Aislingen;89344;Bayern;Weltklasse
959661;Aiterhofen;94330;Bayern;Weltklasse
1244183;Aitern;79677;Baden-Württemberg;Weltklasse
2806736;Aitrach;88319;Baden-Württemberg;Weltklasse
447974;Aitrang;87648;Bayern;Weltklasse
1329407;Aken (Elbe);06385;Sachsen-Anhalt;Weltklasse
1329407;Aken (Elbe);06386;Sachsen-Anhalt;Weltklasse
1284770;Aland;39615;Sachsen-Anhalt;Weltklasse
2186953;Albaching;83544;Bayern;Weltklasse
2786234;Albbruck;79774;Baden-Württemberg;Weltklasse
423032;Albersdorf;25767;Schleswig-Holstein;Weltklasse
2778355;Albersdorf;07646;Thüringen;Weltklasse
2792707;Albershausen;73095;Baden-Württemberg;Weltklasse
1252774;Albersweiler;76857;Rheinland-Pfalz;Weltklasse
283563;Albertshofen;97320;Bayern;Weltklasse
1246578;Albessen;66871;Rheinland-Pfalz;Weltklasse
1248583;Albig;55234;Rheinland-Pfalz;Weltklasse
1254398;Albisheim (Pfrimm);67308;Rheinland-Pfalz;Weltklasse
1471102;Albsfelde;23909;Schleswig-Holstein;Weltklasse
2779017;Albstadt;72458;Baden-Württemberg;Weltklasse
2779017;Albstadt;72459;Baden-Württemberg;Weltklasse
2779017;Albstadt;72461;Baden-Württemberg;Weltklasse
158407;Aldenhoven;52457;Nordrhein-Westfalen;Weltklasse
958104;Aldersbach;94501;Bayern;Weltklasse
1231975;Aldingen;78554;Baden-Württemberg;Weltklasse
962467;Alerheim;86733;Bayern;Weltklasse
1015138;Alesheim;91793;Bayern;Weltklasse
568238;Aletshausen;86480;Bayern;Weltklasse
1269727;Alf;56859;Rheinland-Pfalz;Weltklasse
401623;Alfdorf;73553;Baden-Württemberg;Weltklasse
401623;Alfdorf;73655;Baden-Württemberg;Weltklasse
966167;Alfeld;91236;Bayern;Weltklasse
1168905;Alfeld (Leine);31061;Niedersachsen;Weltklasse
1821138;Alfhausen;49594;Niedersachsen;Weltklasse
1269816;Alflen;56828;Rheinland-Pfalz;Weltklasse
1079020;Alfstedt;27432;Niedersachsen;Weltklasse
172095;Alfter;53347;Nordrhein-Westfalen;Weltklasse
91859;Algermissen;31191;Niedersachsen;Weltklasse
238961;Alheim;36211;Hessen;Weltklasse
546611;Alken;56332;Rheinland-Pfalz;Weltklasse
396563;Alkersleben;99310;Thüringen;Weltklasse
1428588;Alkersum;25938;Schleswig-Holstein;Weltklasse
1245131;Allenbach;55758;Rheinland-Pfalz;Weltklasse
418611;Allendorf;35469;Hessen;Weltklasse
443591;Allendorf;35108;Hessen;Weltklasse
539713;Allendorf;56370;Rheinland-Pfalz;Weltklasse
1273287;Allendorf;07426;Thüringen;Weltklasse
1244219;Allenfeld;55595;Rheinland-Pfalz;Weltklasse
2784841;Allensbach;78476;Baden-Württemberg;Weltklasse
158406;Allersberg;90584;Bayern;Weltklasse
30015;Allershausen;85391;Bayern;Weltklasse
2801344;Alleshausen;88422;Baden-Württemberg;Weltklasse
933491;Alling;82239;Bayern;Weltklasse
445854;Allmannshofen;86695;Bayern;Weltklasse
2801315;Allmannsweiler;88348;Baden-Württemberg;Weltklasse
2803631;Allmendingen;89604;Baden-Württemberg;Weltklasse
400939;Allmersbach im Tal;71573;Baden-Württemberg;Weltklasse
2397385;Allstedt;06542;Sachsen-Anhalt;Weltklasse
1567454;Almdorf;25821;Schleswig-Holstein;Weltklasse
418894;Almersbach;57610;Rheinland-Pfalz;Weltklasse
1182648;Almstedt;31079;Niedersachsen;Weltklasse
58618;Alpen;46519;Nordrhein-Westfalen;Weltklasse
453150;Alpenrod;57642;Rheinland-Pfalz;Weltklasse
453150;Alpenrod;57647;Rheinland-Pfalz;Weltklasse
2411295;Alperstedt;99195;Thüringen;Weltklasse
935834;Alpirsbach;72275;Baden-Württemberg;Weltklasse
532368;Alsbach;56237;Rheinland-Pfalz;Weltklasse
452415;Alsbach-Hähnlein;64665;Hessen;Weltklasse
157993;Alsdorf;52477;Nordrhein-Westfalen;Weltklasse
422316;Alsdorf;57518;Rheinland-Pfalz;Weltklasse
1163504;Alsdorf;54668;Rheinland-Pfalz;Weltklasse
1253873;Alsenz;67821;Rheinland-Pfalz;Weltklasse
418327;Alsfeld;36304;Hessen;Weltklasse
1248686;Alsheim;67577;Rheinland-Pfalz;Weltklasse
1332300;Alsleben;06425;Sachsen-Anhalt;Weltklasse
2792885;Altbach;73776;Baden-Württemberg;Weltklasse
1157542;Alt Bennebek;24848;Schleswig-Holstein;Weltklasse
394333;Alt Bukow;18233;Mecklenburg-Vorpommern;Weltklasse
1322902;Altdöbern;03229;Brandenburg;Weltklasse
190875;Altdorf;84032;Bayern;Weltklasse
722061;Altdorf;71155;Baden-Württemberg;Weltklasse
902680;Altdorf;72655;Baden-Württemberg;Weltklasse
1252492;Altdorf;67482;Rheinland-Pfalz;Weltklasse
966164;Altdorf bei Nürnberg;90518;Bayern;Weltklasse
548573;Alt Duvenstedt;24782;Schleswig-Holstein;Weltklasse
548573;Alt Duvenstedt;24791;Schleswig-Holstein;Weltklasse
548573;Alt Duvenstedt;24811;Schleswig-Holstein;Weltklasse
1438081;Altefähr;18573;Mecklenburg-Vorpommern;Weltklasse
964628;Alteglofsheim;93087;Bayern;Weltklasse
168547;Altena;58762;Nordrhein-Westfalen;Weltklasse
1021826;Altenahr;53505;Rheinland-Pfalz;Weltklasse
1244034;Altenbamberg;55585;Rheinland-Pfalz;Weltklasse
148072;Altenbeken;33184;Nordrhein-Westfalen;Weltklasse
455484;Altenberg;01773;Sachsen;Weltklasse
455484;Altenberg;01778;Sachsen;Weltklasse
